# Chunk-averaged data for fix densityRegions3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
100000 50 4724.000000000001
  16 0.31 0.925 0.00113054
  17 0.33 0.9375 0.00114581
  18 0.35 0.95 0.00116109
  19 0.37 1.1375 0.00139025
  20 0.39 0.8125 0.000993038
  21 0.41 0.725 0.000886095
  22 0.43 0.8 0.00097776
  23 0.45 0.625 0.000763875
  24 0.47 0.9125 0.00111526
  25 0.49 0.925 0.00113054
  26 0.51 0.8 0.00097776
  27 0.53 0.6875 0.000840263
  28 0.55 1.05 0.00128331
  29 0.57 0.7125 0.000870818
  30 0.59 0.8 0.00097776
  31 0.61 0.825 0.00100832
  32 0.63 0.7875 0.000962483
  33 0.65 1.225 0.00268492
  34 0.67 39.9875 0.131019
  35 0.69 241.675 0.79955
  36 0.71 345.388 1.13819
  37 0.73 339.4 1.11005
  38 0.75 346.363 1.12958
  39 0.77 342.9 1.12051
  40 0.79 347.05 1.13166
  41 0.81 345.15 1.13028
  42 0.83 340.188 1.12615
  43 0.85 345.8 1.13908
  44 0.87 346.938 1.13597
  45 0.89 342.2 1.1206
  46 0.91 342.863 1.12489
  47 0.93 349.863 1.14921
  48 0.95 249.863 0.822898
  49 0.97 28.375 0.0914421
  50 0.99 0.75 0.000971893
900000 50 4724
  1 0.01 1.1125 0.0013597
  2 0.03 1 0.0012222
  3 0.05 1.225 0.0014972
  4 0.07 0.9875 0.00120692
  5 0.09 1 0.0012222
  6 0.11 0.85 0.00103887
  7 0.13 1.0875 0.00132914
  8 0.15 0.7875 0.000962483
  9 0.17 0.7125 0.000870818
  10 0.19 0.75 0.00091665
  11 0.21 0.8125 0.000993038
  12 0.23 0.5375 0.000656933
  13 0.25 0.675 0.000824985
  14 0.27 0.5125 0.000626378
  15 0.29 0.825 0.00100832
  16 0.31 0.625 0.000763875
  17 0.33 0.5 0.0006111
  18 0.35 0.5625 0.000687488
  19 0.37 0.6625 0.000809708
  20 0.39 0.625 0.000763875
  21 0.41 0.7 0.00085554
  22 0.43 0.6625 0.000809708
  23 0.45 0.7125 0.000870818
  24 0.47 0.5875 0.000718043
  25 0.49 0.7375 0.000901373
  26 0.51 0.6375 0.000779153
  27 0.53 0.525 0.000641655
  28 0.55 0.7 0.00085554
  29 0.57 0.7375 0.000901373
  30 0.59 0.7125 0.000870818
  31 0.61 0.8 0.00097776
  32 0.63 0.7625 0.000931928
  33 0.65 1.2125 0.00228294
  34 0.67 33.225 0.106236
  35 0.69 249.625 0.820315
  36 0.71 347.1 1.13912
  37 0.73 343 1.12983
  38 0.75 341.925 1.12371
  39 0.77 348.413 1.13462
  40 0.79 342.45 1.11543
  41 0.81 348.113 1.14075
  42 0.83 344.688 1.13344
  43 0.85 339.875 1.12389
  44 0.87 344.125 1.13176
  45 0.89 344.825 1.13018
  46 0.91 341.863 1.11748
  47 0.93 348.438 1.14173
  48 0.95 249.163 0.818949
  49 0.97 30.825 0.0982206
  50 0.99 1.0125 0.00154131
1000000 50 4724.000000000001
  1 0.01 0.65 0.000822052
  2 0.03 0.8 0.00097776
  3 0.05 0.6875 0.000840263
  4 0.07 0.7875 0.000962483
  5 0.09 0.875 0.00106943
  6 0.11 0.7125 0.000870818
  7 0.13 0.9 0.00109998
  8 0.15 0.9 0.00109998
  9 0.17 1 0.0012222
  10 0.19 0.7 0.00085554
  11 0.21 0.9625 0.00117637
  12 0.23 0.6375 0.000779153
  13 0.25 0.675 0.000824985
  14 0.27 0.675 0.000824985
  15 0.29 0.775 0.000947205
  16 0.31 1.0125 0.00123748
  17 0.33 0.75 0.00091665
  18 0.35 0.925 0.00113054
  19 0.37 0.7875 0.000962483
  20 0.39 0.8375 0.00102359
  21 0.41 0.7 0.00085554
  22 0.43 0.8125 0.000993038
  23 0.45 0.9625 0.00117637
  24 0.47 0.7625 0.000931928
  25 0.49 0.825 0.00100832
  26 0.51 0.9125 0.00111526
  27 0.53 0.9 0.00109998
  28 0.55 0.875 0.00106943
  29 0.57 0.7375 0.000901373
  30 0.59 0.7 0.00085554
  31 0.61 1.05 0.00128331
  32 0.63 1.0125 0.00123748
  33 0.65 1.1 0.00159301
  34 0.67 29.5125 0.093882
  35 0.69 244.588 0.807667
  36 0.71 347.3 1.14713
  37 0.73 340.838 1.12526
  38 0.75 343.413 1.12426
  39 0.77 345.663 1.12455
  40 0.79 347.463 1.1357
  41 0.81 343.788 1.12499
  42 0.83 344.938 1.13347
  43 0.85 344.663 1.13918
  44 0.87 341.7 1.1209
  45 0.89 348.213 1.13524
  46 0.91 342.363 1.12021
  47 0.93 346.1 1.13542
  48 0.95 251.413 0.82808
  49 0.97 33.55 0.107352
  50 0.99 1.1 0.00192447
1100000 50 4724
  1 0.01 0.9125 0.00111526
  2 0.03 0.7875 0.000962483
  3 0.05 0.9625 0.00117637
  4 0.07 0.675 0.000824985
  5 0.09 0.7625 0.000931928
  6 0.11 0.5875 0.000718043
  7 0.13 0.625 0.000763875
  8 0.15 0.5625 0.000687488
  9 0.17 0.5 0.0006111
  10 0.19 0.6 0.00073332
  11 0.21 0.6375 0.000779153
  12 0.23 0.4875 0.000595823
  13 0.25 0.55 0.00067221
  14 0.27 0.575 0.000702765
  15 0.29 0.65 0.00079443
  16 0.31 0.6 0.00073332
  17 0.33 1.025 0.00125276
  18 0.35 0.8625 0.00105415
  19 0.37 0.6625 0.000809708
  20 0.39 0.8625 0.00105415
  21 0.41 0.8 0.00097776
  22 0.43 0.9125 0.00111526
  23 0.45 0.8625 0.00105415
  24 0.47 1 0.0012222
  25 0.49 0.7625 0.000931928
  26 0.51 0.925 0.00113054
  27 0.53 0.9375 0.00114581
  28 0.55 0.8875 0.0010847
  29 0.57 0.875 0.00106943
  30 0.59 0.95 0.00116109
  31 0.61 0.8875 0.0010847
  32 0.63 0.75 0.00091665
  33 0.65 1.1875 0.00208666
  34 0.67 34.3625 0.111604
  35 0.69 242.788 0.802457
  36 0.71 346.35 1.13967
  37 0.73 339.85 1.11449
  38 0.75 342.338 1.12239
  39 0.77 345.575 1.13201
  40 0.79 345.05 1.13115
  41 0.81 347.338 1.13911
  42 0.83 343.7 1.12826
  43 0.85 343.5 1.12434
  44 0.87 347.038 1.13764
  45 0.89 345.013 1.13039
  46 0.91 343.138 1.12428
  47 0.93 348 1.1386
  48 0.95 250.312 0.823503
  49 0.97 32.95 0.105237
  50 0.99 1.075 0.00189392
1200000 50 4724.000000000001
  1 0.01 0.75 0.00091665
  2 0.03 0.65 0.00079443
  3 0.05 0.8375 0.00102359
  4 0.07 0.75 0.00091665
  5 0.09 0.6875 0.000840263
  6 0.11 0.6 0.00073332
  7 0.13 0.6125 0.000748598
  8 0.15 0.625 0.000763875
  9 0.17 0.7125 0.000870818
  10 0.19 0.7125 0.000870818
  11 0.21 0.6 0.00073332
  12 0.23 0.7 0.00085554
  13 0.25 0.7375 0.000901373
  14 0.27 0.85 0.00103887
  15 0.29 0.875 0.00106943
  16 0.31 0.6625 0.000809708
  17 0.33 0.9 0.00109998
  18 0.35 0.65 0.00079443
  19 0.37 0.775 0.000947205
  20 0.39 0.65 0.00079443
  21 0.41 0.7125 0.000870818
  22 0.43 0.95 0.00116109
  23 0.45 0.775 0.000947205
  24 0.47 0.8 0.00097776
  25 0.49 0.7125 0.000870818
  26 0.51 0.7875 0.000962483
  27 0.53 0.7625 0.000931928
  28 0.55 0.5875 0.000718043
  29 0.57 0.7 0.00085554
  30 0.59 0.6875 0.000840263
  31 0.61 0.9 0.00109998
  32 0.63 0.6875 0.000840263
  33 0.65 0.9875 0.00142789
  34 0.67 29.6875 0.0951455
  35 0.69 241.7 0.796819
  36 0.71 347.013 1.14148
  37 0.73 342.338 1.12786
  38 0.75 345.038 1.13409
  39 0.77 346.075 1.13075
  40 0.79 347.05 1.13605
  41 0.81 345.838 1.13051
  42 0.83 343.638 1.12851
  43 0.85 347.125 1.13963
  44 0.87 342.225 1.12496
  45 0.89 342.375 1.11399
  46 0.91 343.388 1.12078
  47 0.93 346.562 1.13618
  48 0.95 257.363 0.848831
  49 0.97 31.375 0.102042
  50 0.99 0.825 0.00133977
1300000 50 4724
  1 0.01 0.6375 0.000779153
  2 0.03 0.8375 0.00102359
  3 0.05 0.8625 0.00105415
  4 0.07 0.8125 0.000993038
  5 0.09 0.675 0.000824985
  6 0.11 0.825 0.00100832
  7 0.13 0.625 0.000763875
  8 0.15 0.9 0.00109998
  9 0.17 0.6625 0.000809708
  10 0.19 0.6375 0.000779153
  11 0.21 0.75 0.00091665
  12 0.23 0.7 0.00085554
  13 0.25 0.8125 0.000993038
  14 0.27 0.8625 0.00105415
  15 0.29 0.775 0.000947205
  16 0.31 0.6625 0.000809708
  17 0.33 0.45 0.00054999
  18 0.35 0.6375 0.000779153
  19 0.37 0.5625 0.000687488
  20 0.39 0.7875 0.000962483
  21 0.41 0.7 0.00085554
  22 0.43 0.6875 0.000840263
  23 0.45 0.6875 0.000840263
  24 0.47 0.7625 0.000931928
  25 0.49 0.6375 0.000779153
  26 0.51 0.8125 0.000993038
  27 0.53 0.8125 0.000993038
  28 0.55 0.825 0.00100832
  29 0.57 0.7875 0.000962483
  30 0.59 0.65 0.00079443
  31 0.61 0.6 0.00073332
  32 0.63 0.7875 0.000962483
  33 0.65 0.95 0.00152017
  34 0.67 28.2375 0.0909702
  35 0.69 247.15 0.816572
  36 0.71 344.888 1.13772
  37 0.73 341.062 1.12139
  38 0.75 342.5 1.12806
  39 0.77 348.513 1.14176
  40 0.79 345.138 1.12722
  41 0.81 347.125 1.13106
  42 0.83 345.488 1.13099
  43 0.85 345.5 1.12745
  44 0.87 343.963 1.12689
  45 0.89 347.15 1.13109
  46 0.91 343.638 1.12741
  47 0.93 346.2 1.1388
  48 0.95 244.325 0.806684
  49 0.97 37.7625 0.12261
  50 0.99 1.1875 0.00239049
1400000 50 4724
  1 0.01 0.7375 0.000901373
  2 0.03 0.75 0.00091665
  3 0.05 0.6375 0.000779153
  4 0.07 0.65 0.00079443
  5 0.09 0.45 0.00054999
  6 0.11 0.5375 0.000656933
  7 0.13 0.625 0.000763875
  8 0.15 0.475 0.000580545
  9 0.17 0.5 0.0006111
  10 0.19 0.5125 0.000626378
  11 0.21 0.5 0.0006111
  12 0.23 0.675 0.000824985
  13 0.25 0.4625 0.000565268
  14 0.27 0.5125 0.000626378
  15 0.29 0.475 0.000580545
  16 0.31 0.575 0.000702765
  17 0.33 0.8125 0.000993038
  18 0.35 0.7625 0.000931928
  19 0.37 0.45 0.00054999
  20 0.39 0.6 0.00073332
  21 0.41 0.6125 0.000748598
  22 0.43 0.7 0.00085554
  23 0.45 0.625 0.000763875
  24 0.47 0.675 0.000824985
  25 0.49 0.5875 0.000718043
  26 0.51 0.5875 0.000718043
  27 0.53 0.55 0.00067221
  28 0.55 0.5125 0.000626378
